"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"AE8";"0";"BRAC2_horiLA_1st300";"";" has had 1 weird cue durations;";"";"27";"female";"Germany";"Bachelor degree";"right-handed";"";"I've studied at least one of these disciplines (school or university)";""
"BU9";"0";"BRAC2_vertLL_1st0";"";"";"";"28";"male";"Germany";"Some university/higher education but no degree";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"JM0";"0";"BRAC2_horiLL_1st0";"";"";"";"32";"female";"Germany";"Some university/higher education but no degree";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"MH1";"0";"BRAC2_horiAL_1st300";"";"";"";"19";"female";"Germany";"High school diploma";"right-handed";"German/Russian (bilingual childhood)";"Some knowledge as amateur";"Second Semester Psychology"
"NY3";"0";"BRAC2_vertLA_1st300";"";"";"";"24";"female";NA;"Some university/higher education but no degree";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"PD1";"0";"BRAC2_horiAA_1st0";"";"";"";"23";"female";"Germany";"High school diploma";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"PJ6";"0";"BRAC2_vertAA_1st300";"";"";"";"27";"female";"Germany";"Bachelor degree";"right-handed";"";"I've studied at least one of these disciplines (school or university)";""
"PM1";"0";"BRAC2_horiAA_1st300";"";"has had 1 weird fixations durations;";"";"19";"female";"Germany";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
"QN2";"0";"BRAC2_vertLA_1st300";"";"";"";"20";"I'd rather not say";"Germany";"High school diploma";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"SD0";"0";"BRAC2_vertAA_1st0";"";"";"";"20";"female";"Belgium";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
"SF9";"0";"BRAC2_horiLL_1st300";"";"has had 1 weird fixations durations;";"did 67 errors;";"21";"female";"Germany";"Some university/higher education but no degree";"right-handed";"German";"I've studied at least one of these disciplines (school or university)";""
"VK1";"0";"BRAC2_vertLL_1st300";"";"";"did 40 errors;";"22";"female";"Germany";"High school diploma";"right-handed";"German";"Some knowledge as amateur";""
